city,year,weekofyear,total_cases
sj,2008,18,14
sj,2008,19,13
sj,2008,20,13
sj,2008,21,13
sj,2008,22,14
sj,2008,23,13
sj,2008,24,14
sj,2008,25,14
sj,2008,26,13
sj,2008,27,14
sj,2008,28,14
sj,2008,29,14
sj,2008,30,14
sj,2008,31,17
sj,2008,32,16
sj,2008,33,16
sj,2008,34,25
sj,2008,35,24
sj,2008,36,24
sj,2008,37,26
sj,2008,38,27
sj,2008,39,32
sj,2008,40,31
sj,2008,41,34
sj,2008,42,34
sj,2008,43,33
sj,2008,44,35
sj,2008,45,36
sj,2008,46,35
sj,2008,47,35
sj,2008,48,34
sj,2008,49,34
sj,2008,50,33
sj,2008,51,32
sj,2008,52,33
sj,2009,1,22
sj,2009,2,22
sj,2009,3,22
sj,2009,4,22
sj,2009,5,21
sj,2009,6,22
sj,2009,7,18
sj,2009,8,18
sj,2009,9,19
sj,2009,10,14
sj,2009,11,16
sj,2009,12,16
sj,2009,13,14
sj,2009,14,15
sj,2009,15,13
sj,2009,16,13
sj,2009,17,14
sj,2009,18,14
sj,2009,19,12
sj,2009,20,13
sj,2009,21,13
sj,2009,22,13
sj,2009,23,13
sj,2009,24,15
sj,2009,25,15
sj,2009,26,14
sj,2009,27,13
sj,2009,28,15
sj,2009,29,19
sj,2009,30,19
sj,2009,31,18
sj,2009,32,17
sj,2009,33,19
sj,2009,34,27
sj,2009,35,31
sj,2009,36,25
sj,2009,37,31
sj,2009,38,31
sj,2009,39,27
sj,2009,40,30
sj,2009,41,34
sj,2009,42,36
sj,2009,43,31
sj,2009,44,46
sj,2009,45,46
sj,2009,46,47
sj,2009,47,47
sj,2009,48,47
sj,2009,49,46
sj,2009,50,45
sj,2009,51,48
sj,2009,52,45
sj,2010,53,23
sj,2010,1,24
sj,2010,2,19
sj,2010,3,27
sj,2010,4,23
sj,2010,5,20
sj,2010,6,21
sj,2010,7,22
sj,2010,8,21
sj,2010,9,21
sj,2010,10,17
sj,2010,11,17
sj,2010,12,16
sj,2010,13,17
sj,2010,14,16
sj,2010,15,18
sj,2010,16,21
sj,2010,17,23
sj,2010,18,78
sj,2010,19,79
sj,2010,20,79
sj,2010,21,84
sj,2010,22,82
sj,2010,23,81
sj,2010,24,84
sj,2010,25,84
sj,2010,26,84
sj,2010,27,85
sj,2010,28,90
sj,2010,29,83
sj,2010,30,82
sj,2010,31,105
sj,2010,32,96
sj,2010,33,102
sj,2010,34,102
sj,2010,35,105
sj,2010,36,87
sj,2010,37,81
sj,2010,38,81
sj,2010,39,81
sj,2010,40,81
sj,2010,41,78
sj,2010,42,97
sj,2010,43,94
sj,2010,44,83
sj,2010,45,84
sj,2010,46,79
sj,2010,47,78
sj,2010,48,79
sj,2010,49,78
sj,2010,50,78
sj,2010,51,79
sj,2011,52,78
sj,2011,1,73
sj,2011,2,71
sj,2011,3,70
sj,2011,4,69
sj,2011,5,69
sj,2011,6,69
sj,2011,7,69
sj,2011,8,71
sj,2011,9,69
sj,2011,10,72
sj,2011,11,17
sj,2011,12,14
sj,2011,13,13
sj,2011,14,13
sj,2011,15,14
sj,2011,16,14
sj,2011,17,14
sj,2011,18,14
sj,2011,19,10
sj,2011,20,11
sj,2011,21,12
sj,2011,22,14
sj,2011,23,14
sj,2011,24,14
sj,2011,25,14
sj,2011,26,15
sj,2011,27,15
sj,2011,28,17
sj,2011,29,17
sj,2011,30,17
sj,2011,31,18
sj,2011,32,18
sj,2011,33,18
sj,2011,34,26
sj,2011,35,19
sj,2011,36,18
sj,2011,37,28
sj,2011,38,27
sj,2011,39,19
sj,2011,40,19
sj,2011,41,18
sj,2011,42,16
sj,2011,43,16
sj,2011,44,19
sj,2011,45,26
sj,2011,46,26
sj,2011,47,23
sj,2011,48,16
sj,2011,49,16
sj,2011,50,16
sj,2011,51,23
sj,2012,52,23
sj,2012,1,18
sj,2012,2,18
sj,2012,3,18
sj,2012,4,15
sj,2012,5,17
sj,2012,6,17
sj,2012,7,13
sj,2012,8,13
sj,2012,9,14
sj,2012,10,12
sj,2012,11,12
sj,2012,12,12
sj,2012,13,12
sj,2012,14,12
sj,2012,15,13
sj,2012,16,11
sj,2012,17,11
sj,2012,18,12
sj,2012,19,14
sj,2012,20,14
sj,2012,21,16
sj,2012,22,16
sj,2012,23,16
sj,2012,24,14
sj,2012,25,14
sj,2012,26,16
sj,2012,27,17
sj,2012,28,18
sj,2012,29,20
sj,2012,30,21
sj,2012,31,22
sj,2012,32,26
sj,2012,33,24
sj,2012,34,29
sj,2012,35,33
sj,2012,36,26
sj,2012,37,39
sj,2012,38,35
sj,2012,39,39
sj,2012,40,35
sj,2012,41,35
sj,2012,42,41
sj,2012,43,36
sj,2012,44,38
sj,2012,45,36
sj,2012,46,36
sj,2012,47,34
sj,2012,48,34
